PGA,Col-res,exp_brg_long,fxd_brg_long
0.43,13.64,375.77,1.45
0.45,2.48,88.14,7.13
0.26,1.88,114.57,0.56
0.09,0.06,2.68,0.13
0.20,0.34,15.03,0.14
0.09,0.32,13.02,0.42
0.15,0.14,2.72,0.11
0.17,0.38,10.64,0.18
0.09,0.26,13.88,0.25
0.16,0.24,18.41,0.20
0.07,0.07,4.98,0.14
0.33,2.80,96.60,11.90
0.39,6.27,112.00,7.03
0.38,2.62,79.70,8.19
0.26,0.57,22.40,0.36
0.14,0.23,21.14,0.32
0.08,0.07,5.94,0.06
0.60,9.07,158.43,5.60
0.17,0.22,7.80,0.15
0.46,2.96,81.35,6.90
0.49,5.92,190.01,0.98
0.26,0.29,17.04,0.19
0.24,0.64,43.12,0.21
0.18,0.16,4.73,0.15
0.48,3.53,91.93,6.09
0.16,0.12,7.18,0.15
0.08,0.11,3.19,0.19
0.12,0.06,2.60,0.11
0.14,0.41,12.70,0.38
0.10,0.21,11.00,0.20
0.11,0.06,3.53,0.08
0.37,0.53,20.02,0.25
0.16,0.37,15.44,0.38
0.14,0.26,12.80,0.31
0.33,0.50,15.84,0.18
0.22,0.56,24.79,0.54
0.17,0.36,16.53,0.17
0.41,2.08,77.97,9.76
0.44,3.39,108.07,7.87
0.41,1.83,97.23,0.53
0.47,1.57,59.60,3.53
0.09,0.08,4.78,0.09
0.35,3.19,85.97,11.65
0.14,0.06,4.21,0.10
0.06,0.08,4.53,0.06
0.53,0.28,15.11,1.69
0.07,0.10,6.01,0.10
0.08,0.24,8.65,0.21
0.11,0.31,53.05,0.36
0.22,0.24,44.52,0.50
0.12,0.19,42.02,0.33
0.52,12.44,155.71,2.30
0.13,0.18,56.27,0.36
0.63,9.97,322.17,16.42
0.21,0.19,54.41,0.24
0.13,0.53,28.72,0.31
0.47,1.66,154.10,11.54
0.11,0.08,72.64,0.49
0.30,0.53,97.45,6.25
0.15,0.11,41.52,0.88
0.04,0.10,2.85,0.07
0.12,0.05,17.74,0.21
0.06,0.04,3.68,0.09
0.10,0.48,9.21,0.64
0.62,2.00,154.82,0.57
0.05,0.06,6.15,0.09
0.13,0.09,14.16,0.23
0.07,0.18,16.56,0.58
0.15,1.00,22.70,0.27
0.09,0.06,21.75,0.12
0.18,0.25,76.29,0.25
0.47,0.58,162.04,1.23
0.03,0.01,0.99,0.01
0.31,0.36,50.72,0.65
0.61,16.03,245.89,1.80
0.02,0.03,1.97,0.07
0.15,0.36,63.41,0.38
0.49,0.51,75.13,5.69
0.54,16.34,359.20,1.15
0.14,0.08,21.20,0.22
0.17,0.22,26.00,0.63
0.08,0.06,10.09,0.24
0.09,0.11,7.12,0.07
0.27,0.30,66.08,2.38
0.09,0.06,4.19,0.06
0.14,0.09,37.40,0.65
0.25,0.29,97.10,5.89
0.05,0.03,8.04,0.07
0.17,0.16,28.30,0.37
0.44,2.16,162.91,5.83
0.03,0.07,5.62,0.24
0.27,0.28,88.51,0.65
0.53,0.56,67.69,3.35
0.09,0.21,23.06,1.12
0.51,0.93,114.93,5.33
0.71,13.29,194.71,11.01
